https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1645401600000,2022-02-21 00:00:00,VET/USDT,0.04923000,0.04933000,0.04860000,0.04888000,23205858.20000000,1135275.06013300,4232
1645398000000,2022-02-20 23:00:00,VET/USDT,0.04993000,0.05025000,0.04902000,0.04920000,44054067.30000000,2190142.88252000,6956
1645394400000,2022-02-20 22:00:00,VET/USDT,0.04864000,0.04999000,0.04863000,0.04995000,22776016.00000000,1122091.88858400,5533
1645390800000,2022-02-20 21:00:00,VET/USDT,0.04932000,0.04942000,0.04833000,0.04865000,36167641.70000000,1760171.65951000,6242
1645387200000,2022-02-20 20:00:00,VET/USDT,0.04971000,0.04973000,0.04924000,0.04932000,14140074.90000000,699667.45478700,2397
1645383600000,2022-02-20 19:00:00,VET/USDT,0.04990000,0.04996000,0.04959000,0.04972000,11292800.40000000,561733.19605600,1696
1645380000000,2022-02-20 18:00:00,VET/USDT,0.04959000,0.04995000,0.04939000,0.04992000,18020774.40000000,895608.63665900,2579
1645376400000,2022-02-20 17:00:00,VET/USDT,0.04960000,0.04999000,0.04954000,0.04959000,15019901.20000000,747123.84733100,2485
1645372800000,2022-02-20 16:00:00,VET/USDT,0.04944000,0.04992000,0.04933000,0.04961000,27104018.30000000,1344910.72603500,4163
1645369200000,2022-02-20 15:00:00,VET/USDT,0.04898000,0.04963000,0.04894000,0.04944000,25336721.60000000,1247341.31495900,5633
1645365600000,2022-02-20 14:00:00,VET/USDT,0.04951000,0.04961000,0.04827000,0.04899000,67981227.00000000,3317430.71517300,11385
1645362000000,2022-02-20 13:00:00,VET/USDT,0.04961000,0.04979000,0.04942000,0.04953000,20704902.70000000,1026766.47974800,3536
1645358400000,2022-02-20 12:00:00,VET/USDT,0.05004000,0.05054000,0.04954000,0.04959000,25968478.60000000,1298814.39266400,5144
1645354800000,2022-02-20 11:00:00,VET/USDT,0.04950000,0.05009000,0.04933000,0.05002000,24113509.10000000,1199131.17074600,3646
1645351200000,2022-02-20 10:00:00,VET/USDT,0.04961000,0.05015000,0.04937000,0.04951000,28860519.10000000,1438233.59685400,4747
1645347600000,2022-02-20 09:00:00,VET/USDT,0.04931000,0.04985000,0.04903000,0.04962000,36466908.00000000,1805416.29497800,5406
1645344000000,2022-02-20 08:00:00,VET/USDT,0.05038000,0.05040000,0.04915000,0.04932000,57942902.10000000,2875076.32538500,7838
1645340400000,2022-02-20 07:00:00,VET/USDT,0.05000000,0.05057000,0.04969000,0.05037000,40326903.90000000,2019000.26906900,5420
1645336800000,2022-02-20 06:00:00,VET/USDT,0.05062000,0.05083000,0.04985000,0.05000000,73331503.50000000,3684161.01112900,10879
1645333200000,2022-02-20 05:00:00,VET/USDT,0.05103000,0.05132000,0.05053000,0.05060000,39685703.60000000,2023387.50907700,5519
1645329600000,2022-02-20 04:00:00,VET/USDT,0.05171000,0.05191000,0.05090000,0.05104000,33406358.50000000,1714735.99152700,5572
1645326000000,2022-02-20 03:00:00,VET/USDT,0.05189000,0.05196000,0.05150000,0.05171000,22734724.30000000,1176317.44502200,4285
1645322400000,2022-02-20 02:00:00,VET/USDT,0.05229000,0.05249000,0.05176000,0.05189000,16831744.30000000,877753.14175700,2596
1645318800000,2022-02-20 01:00:00,VET/USDT,0.05209000,0.05236000,0.05177000,0.05229000,12958953.30000000,674273.50542900,3013
1645315200000,2022-02-20 00:00:00,VET/USDT,0.05255000,0.05270000,0.05193000,0.05209000,17280365.60000000,904320.38265300,2945
1645311600000,2022-02-19 23:00:00,VET/USDT,0.05230000,0.05273000,0.05216000,0.05256000,15589762.30000000,818019.72536600,3074
1645308000000,2022-02-19 22:00:00,VET/USDT,0.05198000,0.05255000,0.05198000,0.05231000,8533803.00000000,445799.03700600,1630
1645304400000,2022-02-19 21:00:00,VET/USDT,0.05229000,0.05232000,0.05181000,0.05197000,14690753.10000000,764016.98982900,2631
1645300800000,2022-02-19 20:00:00,VET/USDT,0.05204000,0.05240000,0.05196000,0.05231000,11843787.10000000,618326.39452700,1741
1645297200000,2022-02-19 19:00:00,VET/USDT,0.05270000,0.05273000,0.05190000,0.05204000,16803268.10000000,878176.14814900,3802
1645293600000,2022-02-19 18:00:00,VET/USDT,0.05294000,0.05299000,0.05254000,0.05270000,11995708.60000000,632906.66558300,1984
1645290000000,2022-02-19 17:00:00,VET/USDT,0.05266000,0.05307000,0.05246000,0.05295000,24654677.50000000,1303690.78596400,3446
1645286400000,2022-02-19 16:00:00,VET/USDT,0.05292000,0.05375000,0.05248000,0.05265000,37240713.70000000,1981170.71969700,8135
1645282800000,2022-02-19 15:00:00,VET/USDT,0.05245000,0.05307000,0.05229000,0.05292000,13192044.00000000,695828.12581000,2864
1645279200000,2022-02-19 14:00:00,VET/USDT,0.05275000,0.05275000,0.05208000,0.05244000,20603746.80000000,1079561.28540100,3659
1645275600000,2022-02-19 13:00:00,VET/USDT,0.05179000,0.05294000,0.05143000,0.05276000,35653755.40000000,1860996.30908800,7600
1645272000000,2022-02-19 12:00:00,VET/USDT,0.05187000,0.05214000,0.05158000,0.05179000,22588633.40000000,1171740.91842700,3487
1645268400000,2022-02-19 11:00:00,VET/USDT,0.05273000,0.05286000,0.05150000,0.05186000,43422909.80000000,2257687.92496200,8764
1645264800000,2022-02-19 10:00:00,VET/USDT,0.05321000,0.05331000,0.05246000,0.05273000,28245040.50000000,1491413.71173100,5078
1645261200000,2022-02-19 09:00:00,VET/USDT,0.05355000,0.05370000,0.05314000,0.05319000,24668538.00000000,1317306.07467800,4166
1645257600000,2022-02-19 08:00:00,VET/USDT,0.05419000,0.05427000,0.05343000,0.05354000,21869651.00000000,1176934.38248800,4857
1645254000000,2022-02-19 07:00:00,VET/USDT,0.05433000,0.05440000,0.05409000,0.05418000,13869086.70000000,752643.51625700,1781
1645250400000,2022-02-19 06:00:00,VET/USDT,0.05413000,0.05459000,0.05408000,0.05432000,14680677.40000000,797769.21838800,3741
1645246800000,2022-02-19 05:00:00,VET/USDT,0.05411000,0.05416000,0.05389000,0.05412000,8650371.10000000,467287.46704500,1297
1645243200000,2022-02-19 04:00:00,VET/USDT,0.05377000,0.05416000,0.05366000,0.05411000,11071639.70000000,597456.86385100,1489
1645239600000,2022-02-19 03:00:00,VET/USDT,0.05398000,0.05418000,0.05365000,0.05377000,8379821.10000000,451634.75652700,1662
1645236000000,2022-02-19 02:00:00,VET/USDT,0.05384000,0.05402000,0.05359000,0.05397000,6712266.70000000,361180.86026600,1194
1645232400000,2022-02-19 01:00:00,VET/USDT,0.05376000,0.05407000,0.05360000,0.05385000,19809178.50000000,1066510.99562500,3639
1645228800000,2022-02-19 00:00:00,VET/USDT,0.05318000,0.05378000,0.05305000,0.05375000,19465401.00000000,1040931.73800300,3285
1645225200000,2022-02-18 23:00:00,VET/USDT,0.05297000,0.05358000,0.05296000,0.05317000,20239106.80000000,1078839.98331500,2870
1645221600000,2022-02-18 22:00:00,VET/USDT,0.05348000,0.05366000,0.05283000,0.05297000,17192069.80000000,913054.84135600,3854
1645218000000,2022-02-18 21:00:00,VET/USDT,0.05337000,0.05391000,0.05328000,0.05349000,15311578.10000000,820421.80446300,2442
1645214400000,2022-02-18 20:00:00,VET/USDT,0.05385000,0.05394000,0.05320000,0.05339000,13754598.00000000,736250.71816000,3719
1645210800000,2022-02-18 19:00:00,VET/USDT,0.05368000,0.05387000,0.05350000,0.05383000,14650218.00000000,786788.27915100,2467
1645207200000,2022-02-18 18:00:00,VET/USDT,0.05340000,0.05387000,0.05282000,0.05368000,27172541.60000000,1448712.80829900,5611
1645203600000,2022-02-18 17:00:00,VET/USDT,0.05320000,0.05378000,0.05319000,0.05340000,29286176.80000000,1566380.31092600,4550
1645200000000,2022-02-18 16:00:00,VET/USDT,0.05354000,0.05435000,0.05248000,0.05318000,79236627.80000000,4230669.51380200,17262
1645196400000,2022-02-18 15:00:00,VET/USDT,0.05479000,0.05515000,0.05319000,0.05353000,63981243.30000000,3454332.87747300,14983
1645192800000,2022-02-18 14:00:00,VET/USDT,0.05553000,0.05581000,0.05314000,0.05480000,65986075.90000000,3580676.26995500,16441
1645189200000,2022-02-18 13:00:00,VET/USDT,0.05517000,0.05586000,0.05476000,0.05553000,29861694.20000000,1650053.37437900,5912
