FundLongName,ValorSymbol,FundReutersTicker,FundBloombergTicker,ValorNumber,ISIN,IssuerLongNameDesc,IssuerNameFull,TradingBaseCurrency,FundCurrency,ManagementFee,ReplicationMethodDesc,ManagementStyleDesc,MarketMakers,ClosingPrice,ClosingPerformance,ClosingDelta,FundUnderlyingDescription,BidVolume,BidPrice,AskVolume,AskPrice,MidSpread,PreviousClosingPrice,MarketDate,MarketTime,OpeningPrice,OpeningPrice,DailyLowPrice,OnMarketVolume,OffBookVolume,TotalTurnover,TotalTurnoverCHF,ProductLineDesc,AssetClassDesc,UnderlyingGeographicalDesc,LegalStructureCountryDesc,UnderlyingProviderDesc
1 FiCAS Active Bitcoin Exchange Traded Product,BTCB,BTCB.S,BTCB SE,113027698,CH1130276988,Bitcoin Capital AG,Bitcoin Capital AG,CHF,CHF,0.95,Unknown,active,Flow Traders B.V.,5.736,-4.91,-0.296,Bitcoin (BTC),,,,,,,,,,,,,,,,,,,,
1 FiCAS Active Ethereum Exchange Traded Product,ETHB,ETHB.S,ETHB SE,113027699,CH1130276996,Bitcoin Capital AG,Bitcoin Capital AG,CHF,CHF,0.95,Unknown,active,Flow Traders B.V.,5.024,-5.92,-0.316,Ethereum (ETH),,,,,,,,,,,,,,,,,,,,
15 FiCAS Active Crypto ETP,BTCA,BTCA.S,BTCA SE,54868960,CH0548689600,Bitcoin Capital AG,Bitcoin Capital AG,CHF,CHF,2,Unknown,active,Flow Traders B.V.,174,-2.55,-4.56,top 15 digital assets,,,,,,,,,,,,,,,,,,,,
15 FiCAS Active Crypto ETP,BTCA,BTCA.S,BTCA SE,54868960,CH0548689600,Bitcoin Capital AG,Bitcoin Capital AG,EUR,CHF,2,Unknown,active,Flow Traders B.V.,165.82,-4.18,-7.24,top 15 digital assets,,,,,,,,,,,,,,,,,,,,
15 FiCAS Active Crypto ETP,BTCA,BTCA.S,BTCA SE,54868960,CH0548689600,Bitcoin Capital AG,Bitcoin Capital AG,USD,CHF,2,Unknown,active,Flow Traders B.V.,188.1,-5.84,-11.66,top 15 digital assets,,,,,,,,,,,,,,,,,,,,
21Shares Algorand (ALGO) ETP,ALGO,ALGO.S,ALGO SE,114688231,CH1146882316,21Shares AG,21Shares AG,CHF,USD,2.5,physical,passive,Flow Traders B.V.,8.876,-6.56,-0.623,N/A,0,,0,,,9.499,20220218,,9.234,9.234,8.876,484,0,4371.18,4371.18,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Algorand (ALGO) ETP,ALGO,ALGO.S,ALGO SE,114688231,CH1146882316,21Shares AG,21Shares AG,EUR,USD,2.5,physical,passive,Flow Traders B.V.,8.64,-5.34,-0.487,N/A,0,,0,,,9.127,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Algorand (ALGO) ETP,ALGO,ALGO.S,ALGO SE,114688231,CH1146882316,21Shares AG,21Shares AG,USD,USD,2.5,physical,passive,Flow Traders B.V.,9.866,-4.21,-0.434,N/A,0,,0,,,10.3,20220218,,10.154,10.154,9.866,3714,0,37039.37,34091.04,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Avalanche (AVAX) ETP,AVAX,AVAX.S,AVAX.SE,113520208,CH1135202088,21Shares AG,21Shares AG,CHF,USD,2.5,physical,passive,Flow Traders B.V.,15.86,-4.9,-0.818,N/A,0,,90,24,,16.678,20220218,,16.394,16.394,15.86,1425,0,23213.75,23213.75,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Avalanche (AVAX) ETP,AVAX,AVAX.S,AVAX.SE,113520208,CH1135202088,21Shares AG,21Shares AG,EUR,USD,2.5,physical,passive,Flow Traders B.V.,14.928,-9.76,-1.614,N/A,0,,0,,,16.542,20220218,,15.712,15.712,14.928,1157,0,18055.7,18900.71,Exchange Traded Product,Other,Global,Switzerland,N/A
