Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-02-21 00:00:00 UTC,2.1842272276890944e+16,5.460568069222736e+17,2.4026499504580035e+17,8.736908910756378e+16,1.7473817821512755e+17,2.4026499504580035e+17,1.965804504920185e+17,2.4026499504580035e+17,6.5526816830672824e+16,3.7131862870714605e+17,1.7473817821512755e+17,1.528959059382366e+17,4.368454455378189e+16,1.3105363366134565e+17,3.2763408415336416e+17
2017-02-22 00:00:00 UTC,8.890985265195768e+16,4.445492632597884e+17,2.222746316298942e+17,1.7781970530391536e+17,2.6672955795587302e+17,2.0004716846690477e+17,6.668238948896826e+16,4.22321800096799e+17,,5.112316527487566e+17,4.445492632597884e+16,2.0004716846690477e+17,1.111373158149471e+17,8.890985265195768e+16,2.222746316298942e+17
2017-02-23 00:00:00 UTC,1.0905157056768266e+17,5.670681669519499e+17,1.308618846812192e+17,1.308618846812192e+17,2.3991345524890186e+17,2.8353408347597494e+17,1.308618846812192e+17,3.70775339930121e+17,6.54309423406096e+16,4.580165963842672e+17,1.0905157056768266e+17,1.962928270218288e+17,1.308618846812192e+17,1.308618846812192e+17,2.181031411353653e+17
2017-02-24 00:00:00 UTC,4.332414731114197e+16,6.065380623559875e+17,1.5163451558899686e+17,1.299724419334259e+17,2.599448838668518e+17,2.1662073655570982e+17,1.5163451558899686e+17,2.1662073655570982e+17,1.0831036827785491e+17,5.198897677337036e+17,1.0831036827785491e+17,1.7329658924456787e+17,6.498622096671295e+16,1.7329658924456787e+17,6.065380623559876e+17
2017-02-25 00:00:00 UTC,1.0907418963926677e+17,5.890006240520406e+17,1.7451870342282685e+17,6.5444513783560056e+16,2.1814837927853354e+17,2.1814837927853354e+17,8.725935171141342e+16,6.108154619798939e+17,1.0907418963926677e+17,4.799264344127738e+17,1.0907418963926677e+17,2.6177805513424022e+17,1.3088902756712011e+17,1.963335413506802e+17,2.8359289306209357e+17
2017-02-26 00:00:00 UTC,2.2247576386760224e+16,6.229321388292863e+17,1.1123788193380112e+17,2.4472334025436246e+17,3.782087985749238e+17,2.892184930278829e+17,8.89903055470409e+16,5.784369860557658e+17,6.674272916028067e+16,4.671991041219647e+17,1.5573303470732157e+17,1.5573303470732157e+17,6.674272916028067e+16,1.5573303470732157e+17,5.561894096690056e+17
2017-02-27 00:00:00 UTC,1.0853515330598474e+17,5.4267576652992365e+17,1.3024218396718166e+17,1.3024218396718166e+17,1.5194921462837862e+17,2.3877733727316643e+17,1.0853515330598474e+17,4.1243358256274195e+17,6.512109198359083e+16,4.1243358256274195e+17,8.682812264478778e+16,1.3024218396718166e+17,8.682812264478778e+16,2.1707030661196947e+17,3.0389842925675725e+17
2017-02-28 00:00:00 UTC,1.0946268618630851e+17,6.348835798805893e+17,1.970328351353553e+17,8.75701489490468e+16,2.6271044684714038e+17,2.408179096098787e+17,1.0946268618630851e+17,3.283880585589255e+17,8.75701489490468e+16,3.940656702707106e+17,2.18925372372617e+16,2.846029840844021e+17,1.0946268618630851e+17,1.970328351353553e+17,2.8460298408440208e+17
2017-03-01 00:00:00 UTC,4.432015135327097e+16,6.204821189457935e+17,1.551205297364484e+17,2.4376083244299034e+17,2.2160075676635485e+17,2.659209081196258e+17,6.648022702990645e+16,3.988813621794387e+17,8.864030270654194e+16,3.5456121082616774e+17,1.1080037838317742e+17,1.551205297364484e+17,4.432015135327097e+16,2.2160075676635485e+17,1.9944068108971936e+17
2017-03-02 00:00:00 UTC,8.745687594091286e+16,5.247412556454772e+17,2.1864218985228218e+17,2.1864218985228218e+17,2.4050640883751037e+17,3.06099065793195e+17,8.745687594091286e+16,1.9677797086705395e+17,4.372843797045643e+16,3.935559417341079e+17,8.745687594091286e+16,2.4050640883751037e+17,6.559265695568465e+16,4.154201607193361e+17,3.060990657931951e+17
2017-03-03 00:00:00 UTC,4.36970664478849e+16,5.680618638225037e+17,2.8403093191125184e+17,1.310911993436547e+17,3.277279983591367e+17,2.184853322394245e+17,1.310911993436547e+17,4.588191977027914e+17,8.73941328957698e+16,3.277279983591367e+17,6.554559967182735e+16,2.184853322394245e+17,6.554559967182735e+16,2.4033386546336694e+17,1.310911993436547e+17
2017-03-04 00:00:00 UTC,6.882962312181842e+16,4.359209464381833e+17,2.0648886936545523e+17,2.0648886936545523e+17,2.5237528478000083e+17,2.2943207707272806e+17,9.177283082909122e+16,3.2120490790181926e+17,6.882962312181842e+16,4.359209464381833e+17,1.1471603853636403e+17,1.1471603853636403e+17,2.2943207707272804e+16,2.5237528478000083e+17,2.0648886936545523e+17
2017-03-05 00:00:00 UTC,1.4156535771843142e+17,4.011018468688891e+17,1.4156535771843142e+17,2.359422628640524e+17,3.539133942960786e+17,1.6515958400483667e+17,7.078267885921571e+16,3.067249417232681e+17,9.437690514562094e+16,4.482902994416995e+17,7.078267885921571e+16,2.5953648915045763e+17,1.179711314320262e+17,2.8313071543686285e+17,3.7750762058248384e+17
2017-03-06 00:00:00 UTC,1.3429167875672832e+17,4.700208756485491e+17,2.462014110540019e+17,1.3429167875672832e+17,1.7905557167563776e+17,1.7905557167563776e+17,,2.6858335751345664e+17,8.952778583781888e+16,4.0287503627018496e+17,8.952778583781888e+16,2.462014110540019e+17,6.714583937836416e+16,3.8049308981073024e+17,2.9096530397291136e+17
2017-03-07 00:00:00 UTC,1.8184852680291034e+17,4.31890251156912e+17,1.8184852680291034e+17,1.8184852680291034e+17,2.5004172435400166e+17,2.955038560547293e+17,1.3638639510218274e+17,4.31890251156912e+17,1.3638639510218274e+17,2.955038560547293e+17,9.092426340145517e+16,2.045795926532741e+17,1.5911746095254653e+17,2.5004172435400166e+17,2.500417243540017e+17
2017-03-08 00:00:00 UTC,9.263413410716987e+16,6.021218716966042e+17,1.8526826821433974e+17,9.263413410716987e+16,3.010609358483021e+17,1.8526826821433974e+17,1.1579266763396234e+17,2.779024023215096e+17,2.3158533526792468e+16,5.558048046430192e+17,1.1579266763396234e+17,1.1579266763396234e+17,1.389512011607548e+17,2.3158533526792467e+17,2.5474386879471715e+17
2017-03-09 00:00:00 UTC,9.297686484447893e+16,4.1839589180015514e+17,3.254190269556762e+17,1.1622108105559866e+17,1.627095134778381e+17,2.324421621111973e+17,1.3946529726671838e+17,3.4866324316679597e+17,6.973264863335919e+16,3.4866324316679597e+17,1.8595372968895786e+17,2.324421621111973e+17,1.627095134778381e+17,3.4866324316679597e+17,2.5568637832231702e+17
2017-03-10 00:00:00 UTC,8.945797504739744e+16,5.5911234404623405e+17,1.3418696257109618e+17,1.3418696257109618e+17,1.7891595009479488e+17,1.7891595009479488e+17,1.7891595009479488e+17,3.801963939514391e+17,1.118224688092468e+17,5.5911234404623405e+17,2.0128044385664426e+17,1.7891595009479488e+17,8.945797504739744e+16,3.131029126658911e+17,2.0128044385664426e+17
