Time,
2017-02-21 00:00:00 UTC,279090.0
2017-02-22 00:00:00 UTC,282194.0
2017-02-23 00:00:00 UTC,325913.0
2017-02-24 00:00:00 UTC,343805.0
2017-02-25 00:00:00 UTC,326521.0
2017-02-26 00:00:00 UTC,265203.0
2017-02-27 00:00:00 UTC,284555.0
2017-02-28 00:00:00 UTC,325414.0
2017-03-01 00:00:00 UTC,315883.0
2017-03-02 00:00:00 UTC,329428.0
2017-03-03 00:00:00 UTC,337310.0
2017-03-04 00:00:00 UTC,265780.0
2017-03-05 00:00:00 UTC,280739.0
2017-03-06 00:00:00 UTC,287731.0
2017-03-07 00:00:00 UTC,327902.0
2017-03-08 00:00:00 UTC,297108.0
2017-03-09 00:00:00 UTC,303632.0
2017-03-10 00:00:00 UTC,308482.0
2017-03-11 00:00:00 UTC,280681.0
2017-03-12 00:00:00 UTC,221110.0
2017-03-13 00:00:00 UTC,273079.0
2017-03-14 00:00:00 UTC,310395.0
2017-03-15 00:00:00 UTC,292434.0
2017-03-16 00:00:00 UTC,327034.0
2017-03-17 00:00:00 UTC,292196.0
2017-03-18 00:00:00 UTC,263530.0
2017-03-19 00:00:00 UTC,269336.0
2017-03-20 00:00:00 UTC,277033.0
2017-03-21 00:00:00 UTC,288055.0
2017-03-22 00:00:00 UTC,316593.0
2017-03-23 00:00:00 UTC,287871.0
2017-03-24 00:00:00 UTC,289521.0
2017-03-25 00:00:00 UTC,242975.0
2017-03-26 00:00:00 UTC,221915.0
2017-03-27 00:00:00 UTC,232291.0
2017-03-28 00:00:00 UTC,294001.0
2017-03-29 00:00:00 UTC,283931.0
2017-03-30 00:00:00 UTC,288788.0
2017-03-31 00:00:00 UTC,259403.0
2017-04-01 00:00:00 UTC,255871.0
2017-04-02 00:00:00 UTC,244203.0
2017-04-03 00:00:00 UTC,288141.0
2017-04-04 00:00:00 UTC,256015.0
2017-04-05 00:00:00 UTC,316555.0
2017-04-06 00:00:00 UTC,290465.0
2017-04-07 00:00:00 UTC,295463.0
2017-04-08 00:00:00 UTC,226959.0
2017-04-09 00:00:00 UTC,238286.0
2017-04-10 00:00:00 UTC,273384.0
2017-04-11 00:00:00 UTC,307893.0
2017-04-12 00:00:00 UTC,278093.0
2017-04-13 00:00:00 UTC,228679.0
2017-04-14 00:00:00 UTC,290208.0
2017-04-15 00:00:00 UTC,270705.0
2017-04-16 00:00:00 UTC,211829.0
2017-04-17 00:00:00 UTC,245184.0
2017-04-18 00:00:00 UTC,303091.0
2017-04-19 00:00:00 UTC,310104.0
2017-04-20 00:00:00 UTC,267915.0
2017-04-21 00:00:00 UTC,330354.0
2017-04-22 00:00:00 UTC,268712.0
2017-04-23 00:00:00 UTC,245039.0
2017-04-24 00:00:00 UTC,222671.0
2017-04-25 00:00:00 UTC,325387.0
2017-04-26 00:00:00 UTC,334471.0
2017-04-27 00:00:00 UTC,297884.0
2017-04-28 00:00:00 UTC,305271.0
2017-04-29 00:00:00 UTC,341319.0
2017-04-30 00:00:00 UTC,281489.0
2017-05-01 00:00:00 UTC,294786.0
2017-05-02 00:00:00 UTC,333161.0
2017-05-03 00:00:00 UTC,295149.0
2017-05-04 00:00:00 UTC,354737.0
2017-05-05 00:00:00 UTC,267193.0
2017-05-06 00:00:00 UTC,363022.0
2017-05-07 00:00:00 UTC,316011.0
2017-05-08 00:00:00 UTC,365096.0
2017-05-09 00:00:00 UTC,332879.0
2017-05-10 00:00:00 UTC,311391.0
2017-05-11 00:00:00 UTC,294743.0
2017-05-12 00:00:00 UTC,317698.0
2017-05-13 00:00:00 UTC,329266.0
2017-05-14 00:00:00 UTC,369098.0
2017-05-15 00:00:00 UTC,329229.0
2017-05-16 00:00:00 UTC,233977.0
2017-05-17 00:00:00 UTC,317527.0
2017-05-18 00:00:00 UTC,288904.0
2017-05-19 00:00:00 UTC,319502.0
2017-05-20 00:00:00 UTC,352805.0
2017-05-21 00:00:00 UTC,326057.0
2017-05-22 00:00:00 UTC,327868.0
2017-05-23 00:00:00 UTC,367710.0
2017-05-24 00:00:00 UTC,338642.0
2017-05-25 00:00:00 UTC,350114.0
2017-05-26 00:00:00 UTC,333340.0
2017-05-27 00:00:00 UTC,331914.0
2017-05-28 00:00:00 UTC,308143.0
2017-05-29 00:00:00 UTC,321638.0
