Time,
2017-02-22 00:00:00 UTC,18077749836.5856
2017-02-23 00:00:00 UTC,18182537471.285
2017-02-24 00:00:00 UTC,19090539145.3133
2017-02-25 00:00:00 UTC,19035619792.2123
2017-02-26 00:00:00 UTC,18590940206.2636
2017-02-27 00:00:00 UTC,19097999987.0816
2017-02-28 00:00:00 UTC,19377889947.1027
2017-03-01 00:00:00 UTC,19212522882.403
2017-03-02 00:00:00 UTC,19837687859.8202
2017-03-03 00:00:00 UTC,20358095032.8476
2017-03-04 00:00:00 UTC,20772551744.0202
2017-03-05 00:00:00 UTC,20448677836.5389
2017-03-06 00:00:00 UTC,20622828454.2176
2017-03-07 00:00:00 UTC,20679615562.6845
2017-03-08 00:00:00 UTC,19975892872.6923
2017-03-09 00:00:00 UTC,18534433862.6623
2017-03-10 00:00:00 UTC,19433033838.2419
2017-03-11 00:00:00 UTC,18143400868.7612
2017-03-12 00:00:00 UTC,19052823547.0279
2017-03-13 00:00:00 UTC,19815897101.861
2017-03-14 00:00:00 UTC,20064332898.9823
2017-03-15 00:00:00 UTC,20167417095.6957
2017-03-16 00:00:00 UTC,20332172915.7232
2017-03-17 00:00:00 UTC,18858231891.9785
2017-03-18 00:00:00 UTC,17553481004.8435
2017-03-19 00:00:00 UTC,15899759709.3826
2017-03-20 00:00:00 UTC,16540562270.946
2017-03-21 00:00:00 UTC,17037126515.5637
2017-03-22 00:00:00 UTC,18041504687.8643
2017-03-23 00:00:00 UTC,16948563635.7999
2017-03-24 00:00:00 UTC,16762144466.0382
2017-03-25 00:00:00 UTC,15310824176.2168
2017-03-26 00:00:00 UTC,15702233020.783
2017-03-27 00:00:00 UTC,15650946650.8738
2017-03-28 00:00:00 UTC,16837805324.6066
2017-03-29 00:00:00 UTC,16804572763.3276
2017-03-30 00:00:00 UTC,17008587583.3954
2017-03-31 00:00:00 UTC,16930461514.7979
2017-04-01 00:00:00 UTC,17542444679.413
2017-04-02 00:00:00 UTC,17623884422.6817
2017-04-03 00:00:00 UTC,18093035053.6075
2017-04-04 00:00:00 UTC,18663576086.9521
2017-04-05 00:00:00 UTC,18552634044.0825
2017-04-06 00:00:00 UTC,18538237923.8253
2017-04-07 00:00:00 UTC,19286825430.5123
2017-04-08 00:00:00 UTC,19270326739.1741
2017-04-09 00:00:00 UTC,19257002237.886
2017-04-10 00:00:00 UTC,19656735887.2991
2017-04-11 00:00:00 UTC,19683608584.5194
2017-04-12 00:00:00 UTC,19934676002.8373
2017-04-13 00:00:00 UTC,19789361290.2617
2017-04-14 00:00:00 UTC,19159993409.9775
2017-04-15 00:00:00 UTC,19271778495.1911
2017-04-16 00:00:00 UTC,19242540858.7659
2017-04-17 00:00:00 UTC,19311900486.9967
2017-04-18 00:00:00 UTC,19678695538.5468
2017-04-19 00:00:00 UTC,19967761028.8055
2017-04-20 00:00:00 UTC,20052667485.8804
2017-04-21 00:00:00 UTC,20573791295.7563
2017-04-22 00:00:00 UTC,20730747079.482
2017-04-23 00:00:00 UTC,20777181748.8938
2017-04-24 00:00:00 UTC,20956753355.0347
2017-04-25 00:00:00 UTC,20913509267.6283
2017-04-26 00:00:00 UTC,21320244103.8116
2017-04-27 00:00:00 UTC,21699159437.7662
2017-04-28 00:00:00 UTC,22244602742.1518
2017-04-29 00:00:00 UTC,22121513410.9265
2017-04-30 00:00:00 UTC,22005592514.9489
2017-05-01 00:00:00 UTC,22313976019.6683
2017-05-02 00:00:00 UTC,23363341281.4216
2017-05-03 00:00:00 UTC,24146174368.4571
2017-05-04 00:00:00 UTC,24849027009.5509
2017-05-05 00:00:00 UTC,25195510972.5988
2017-05-06 00:00:00 UTC,24933040410.8785
2017-05-07 00:00:00 UTC,25431454420.5937
2017-05-08 00:00:00 UTC,25743814851.9083
2017-05-09 00:00:00 UTC,27037964776.9508
2017-05-10 00:00:00 UTC,28012099345.25
2017-05-11 00:00:00 UTC,28710076381.7301
2017-05-12 00:00:00 UTC,29879093845.7663
2017-05-13 00:00:00 UTC,27573196839.3036
2017-05-14 00:00:00 UTC,29171781090.9155
2017-05-15 00:00:00 UTC,29239356345.5065
2017-05-16 00:00:00 UTC,28060736072.2861
2017-05-17 00:00:00 UTC,28487532549.4587
2017-05-18 00:00:00 UTC,29602629044.9221
2017-05-19 00:00:00 UTC,31159211158.3642
2017-05-20 00:00:00 UTC,32161310790.3664
2017-05-21 00:00:00 UTC,33282268367.7004
2017-05-22 00:00:00 UTC,33143692319.8068
2017-05-23 00:00:00 UTC,34794566389.1237
2017-05-24 00:00:00 UTC,37277201600.2916
2017-05-25 00:00:00 UTC,40032659928.1113
2017-05-26 00:00:00 UTC,38192540827.3982
2017-05-27 00:00:00 UTC,36179142013.8662
2017-05-28 00:00:00 UTC,33990235575.8132
2017-05-29 00:00:00 UTC,35384530615.2618
2017-05-30 00:00:00 UTC,36502238304.516
2017-05-31 00:00:00 UTC,36037443020.923
